STT,name,brand,price,processor,ram,storage,battery,charging
70,OPPO A3x 4GB/64GB,OPPO,3490000,Snapdragon 6s Gen 1 8 nhân,4 GB,64 GB,5100 mAh,45 W
71,OPPO A3x 6GB/128GB,OPPO,4090000,Snapdragon 6s Gen 1 8 nhân,6 GB,128 GB,5100 mAh,45 W
72,OPPO A3x 4GB/128GB,OPPO,3990000,Snapdragon 6s Gen 1 8 nhân,4 GB,128 GB,5100 mAh,45 W
73,realme 13+ 5G 12GB/256GB,realme,9190000,MediaTek Dimensity 7300 Energy 5G 8 nhân,12 GB,256 GB,5000 mAh,80 W
74,vivo V40 5G 12GB/256GB,vivo,12990000,Snapdragon 7 Gen 3 8 nhân,12 GB,256 GB,5500 mAh,80 W
75,HONOR X5 Plus 4GB/64GB,HONOR,2490000,,4 GB,64 GB,5200 mAh,10 W
76,Samsung Galaxy A05s 6GB/128GB,Samsung,3190000,,6 GB,128 GB,5000 mAh,25 W
77,iPhone 15 128GB,iPhone,15990000,,6 GB,128 GB,3349 mAh,20 W
78,iPhone 15 256GB,iPhone,18990000,,6 GB,256 GB,3349 mAh,20 W
79,iPhone 14 Plus 512GB,iPhone,22990000,,6 GB,512 GB,4325 mAh,20 W
80,iPhone 14 128GB,iPhone,13490000,,6 GB,128 GB,3279 mAh,20 W
81,Samsung Galaxy S24 FE 5G 8GB/256GB,Samsung,13990000,Exynos 2400e 8 nhân,8 GB,256 GB,4700 mAh,25 W
82,Samsung Galaxy S24 FE 5G 8GB/128GB,Samsung,12990000,Exynos 2400e 8 nhân,8 GB,128 GB,4700 mAh,25 W
83,Samsung Galaxy A25 5G 8GB/128GB,Samsung,4990000,,8 GB,128 GB,5000 mAh,25 W
84,Samsung Galaxy S24 5G 8GB/256GB,Samsung,14590000,Exynos 2400,8 GB,256 GB,4000 mAh,25 W
85,Xiaomi 14T 5G 12GB/256GB,Xiaomi,10990000,MediaTek Dimensity 8300 Ultra 8 nhân,12 GB,256 GB,5000 mAh,67 W
86,Xiaomi 14T 5G 12GB/512GB Xanh,Xiaomi,10990000,MediaTek Dimensity 8300 Ultra 8 nhân,12 GB,512 GB,5000 mAh,67 W
87,Xiaomi 14T 5G 12GB/512GB,Xiaomi,11190000,MediaTek Dimensity 8300 Ultra 8 nhân,12 GB,512 GB,5000 mAh,67 W
88,Xiaomi 14T Pro 5G 12GB/256GB,Xiaomi,14490000,MediaTek Dimensity 9300+ 8 nhân,12 GB,256 GB,5000 mAh,120 W
89,Xiaomi 14T Pro 5G 12GB/512GB,Xiaomi,14490000,MediaTek Dimensity 9300+ 8 nhân,12 GB,512 GB,5000 mAh,120 W
90,OPPO A3 8GB/128GB,OPPO,5290000,Snapdragon 6s Gen 1 8 nhân,8 GB,128 GB,5100 mAh,45 W
91,OPPO A38 6GB/128GB,OPPO,4590000,Snapdragon 6s Gen 1 8 nhân,6 GB,128 GB,5100 mAh,45 W
92,OPPO A3 8GB/256GB,OPPO,5990000,Snapdragon 6s Gen 1 8 nhân,8 GB,256 GB,5100 mAh,45 W
93,Tecno Spark GO 1 3GB/64GB,Tecno,1990000,Unisoc T615 8 nhân,3 GB,64 GB,5000 mAh,15 W
94,OPPO Reno12 F 8GB/256GB,OPPO,7290000,,8 GB,256 GB,5000 mAh,45 W
95,vivo Y19s 6GB/128GB,vivo,4290000,Unisoc Tiger T612,6 GB,128 GB,5500 mAh,15 W
96,vivo Y19s 4GB/128GB,vivo,3990000,Unisoc Tiger T612,4 GB,128 GB,5500 mAh,15 W
97,vivo Y19s 8GB/128GB,vivo,4590000,Unisoc Tiger T612,8 GB,128 GB,5500 mAh,15 W
98,HONOR X8b 8GB/512GB,HONOR,5690000,,8 GB,512 GB,4500 mAh,35 W
99,HONOR X6b 6GB/128GB Tím,HONOR,3590000,,6 GB,128 GB,5200 mAh,35 W
100,iPhone 13 128GB,iPhone,11990000,,4 GB,128 GB,3240 mAh,20 W
101,iPhone 13 512GB,iPhone,21990000,,4 GB,512 GB,3240 mAh,20 W
102,iPhone 12 64GB,iPhone,9990000,,4 GB,64 GB,2815 mAh,20 W
103,iPhone 12 128GB,iPhone,11590000,,4 GB,128 GB,2815 mAh,20 W
104,iPhone 12 256GB,iPhone,14990000,,4 GB,256 GB,2815 mAh,20 W
105,iPhone 12 64GB,iPhone,9990000,,4 GB,64 GB,2815 mAh,20 W
106,iPhone 12 128GB,iPhone,11590000,,4 GB,128 GB,2815 mAh,20 W
107,Xiaomi Redmi 13 6GB/128GB,Xiaomi,3690000,MediaTek Helio G91 Ultra 8 nhân,6 GB,128 GB,5030 mAh,33 W
108,Xiaomi Redmi 13 8GB/128GB,Xiaomi,3490000,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,5030 mAh,33 W
109,Xiaomi Redmi A3 3GB/64GB,Xiaomi,1790000,,3 GB,64 GB,5000 mAh,10 W
110,Xiaomi Redmi A3 4GB/128GB,Xiaomi,,,4 GB,128 GB,5000 mAh,10 W
111,Samsung Galaxy S25 5G 12GB/256GB,Samsung,19290000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,4000 mAh,25 W
112,Samsung Galaxy S25 5G 12GB/512GB,Samsung,22290000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,512 GB,4000 mAh,25 W
113,Xiaomi Redmi 14C 6GB/128GB,Xiaomi,3390000,MediaTek Helio G81-Ultra 8 nhân,6 GB,128 GB,5160 mAh,18 W
114,Xiaomi Redmi 14C 4GB/128GB,Xiaomi,2690000,MediaTek Helio G81-Ultra 8 nhân,4 GB,128 GB,5160 mAh,18 W
115,OPPO Find X8 5G 16GB/512GB Hồng,OPPO,21990000,MediaTek Dimensity 9400 8 nhân,16 GB,512 GB,5630 mAh,80 W
116,OPPO Find X8 Pro 5G 16GB/512GB,OPPO,25990000,MediaTek Dimensity 9400 8 nhân,16 GB,512 GB,5910 mAh,80 W
117,realme 12 8GB/256GB,realme,6390000,,8 GB,256 GB,5000 mAh,67 W
118,realme 12 8GB/512GB,realme,6790000,,8 GB,512 GB,5000 mAh,67 W
119,vivo Y04 4GB/128GB,vivo,2990000,Unisoc T7225 8 nhân,4 GB,,5500 mAh,15 W
120,realme Note 60x 4GB/64GB,realme,2990000,Unisoc Tiger T612,4 GB,64 GB,5000 mAh,10 W
121,realme Note 60x 3GB/64GB,realme,2590000,Unisoc Tiger T612,3 GB,64 GB,5000 mAh,10 W
122,vivo V30e 5G 12GB/256GB,vivo,8990000,Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,5500 mAh,44 W
123,realme Note 50 3GB/64GB,realme,2490000,Unisoc Tiger T612,3 GB,64 GB,5000 mAh,10 W
124,realme Note 50 4GB/128GB,realme,2690000,Unisoc Tiger T612,4 GB,128 GB,5000 mAh,10 W
125,vivo V30 5G 12GB/512GB,vivo,12790000,Snapdragon 7 Gen 3 8 nhân,12 GB,512 GB,5000 mAh,80 W
126,realme Note 60 6GB/128GB,realme,3790000,Unisoc Tiger T612,6 GB,128 GB,5000 mAh,10 W
127,realme Note 60 4GB/64GB,realme,2890000,Unisoc Tiger T612,4 GB,64 GB,5000 mAh,10 W
128,realme Note 60 4GB/128GB,realme,3390000,Unisoc Tiger T612,4 GB,128 GB,5000 mAh,10 W
129,realme C61 4GB/128GB,realme,3490000,Unisoc Tiger T612,4 GB,128 GB,5000 mAh,15 W
130,OPPO Reno13 F 5G 8GB/256GB,OPPO,9990000,Snapdragon 6 Gen 1 5G 8 nhân,8 GB,256 GB,5800 mAh,45 W
131,OPPO Reno13 F 5G 12GB/256GB,OPPO,10690000,Snapdragon 6 Gen 1 5G 8 nhân,12 GB,256 GB,5800 mAh,45 W
132,OPPO Reno13 F 5G 12GB/512GB,OPPO,11490000,Snapdragon 6 Gen 1 5G 8 nhân,12 GB,512 GB,5800 mAh,45 W
133,Nokia 105 4G Pro,Nokia,680000,Unisoc T107 8 nhân,48 MB,128 MB,1450 mAh,2.75 W
134,Viettel Sumo 4G T2,Viettel,550000,Unisoc T107,48 MB,128 MB,1400 mAh,2.5 W
135,Xiaomi Redmi 13x 6GB/128GB,Xiaomi,3990000,MediaTek Helio G91 Ultra 8 nhân,6 GB,,5030 mAh,33 W
136,Mobell M239 4G,Mobell,420000,Unisoc UMS9117-L,48 MB,128 MB,1000 mAh,2.5 W
137,Masstel IZI 10,Masstel,410000,Unisoc UMS9117,48 MB,128 MB,1000 mAh,
138,Nokia 220 4G,Nokia,990000,Unisoc T107 8 nhân,64 MB,128 MB,1450 mAh,Hãng không công bố
139,Nokia HMD 105 4G,Nokia,650000,,,128 MB,1450 mAh,Hãng không công bố
140,Masstel IZI T6 4G,Masstel,500000,Unisoc T107 8 nhân,48 MB,128 MB,1800 mAh,2.5 W
141,Benco 4G G3,Benco,380000,Unisoc T107,48 MB,128 MB,1000 mAh,2.5 W
142,Masstel Fami 50 4G,Masstel,600000,Unisoc T107 8 nhân,48 MB,128 MB,1750 mAh,2.5 W
143,iPhone 16 Pro 128GB,iPhone,25490000,Apple A18 Pro 6 nhân,8 GB,128 GB,27 giờ,20 W
144,iPhone 16 Pro 256GB,iPhone,28690000,Apple A18 Pro 6 nhân,8 GB,256 GB,27 giờ,20 W
145,iPhone 16 Pro 512GB,iPhone,34690000,Apple A18 Pro 6 nhân,8 GB,512 GB,27 giờ,20 W
146,iPhone 16 Pro 1TB,iPhone,40790000,Apple A18 Pro 6 nhân,8 GB,1 TB,27 giờ,20 W
147,Nokia 110 4G Pro,Nokia,750000,Unisoc T107 8 nhân,48 MB,128 MB,1450 mAh,5 W
148,vivo Y28 8GB/128GB,vivo,5090000,,8 GB,128 GB,6000 mAh,44 W
149,vivo Y28 8GB/256GB,vivo,5690000,,8 GB,256 GB,6000 mAh,44 W
150,OPPO Reno12 5G 12GB/256GB Hồng,OPPO,9490000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,256 GB,5000 mAh,80 W
151,OPPO Reno12 5G 12GB/512GB,OPPO,12490000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,512 GB,5000 mAh,80 W
152,OPPO Reno12 5G 12GB/256GB,OPPO,9490000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,256 GB,5000 mAh,80 W
153,Mobell F309 4G,Mobell,760000,Unisoc T107,48 MB,128 MB,1600 mAh,2.5 W
154,Samsung Galaxy A36 5G 8GB/128GB,Samsung,7990000,Snapdragon 6 Gen 3 8 nhân,8 GB,128 GB,5000 mAh,45 W
155,Samsung Galaxy A36 5G 8GB/256GB,Samsung,8990000,Snapdragon 6 Gen 3 8 nhân,8 GB,256 GB,5000 mAh,45 W
156,Samsung Galaxy A36 5G 12GB/256GB,Samsung,9990000,Snapdragon 6 Gen 3 8 nhân,12 GB,256 GB,5000 mAh,45 W
157,vivo Y03 4GB/128GB,vivo,3290000,,4 GB,128 GB,5000 mAh,15 W
158,vivo Y03 4GB/64GB,vivo,2690000,,4 GB,64 GB,5000 mAh,15 W
159,Mobell M539,Mobell,700000,Unisoc T107,48 MB,128 MB,2000 mAh,2.5 W
160,Samsung Galaxy A06 5G 6GB/128GB,Samsung,6590000,Exynos 1380 8 nhân,6 GB,,5000 mAh,25 W
161,Samsung Galaxy S25 Plus 5G 12GB/256GB,Samsung,22790000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,4900 mAh,45 W
162,Samsung Galaxy S25 Plus 5G 12GB/512GB,Samsung,25790000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,512 GB,4900 mAh,45 W
163,HONOR X7c 8GB/256GB,HONOR,4990000,,8 GB,256 GB,6000 mAh,35 W
164,OPPO Reno12 Pro 5G 12GB/512GB,OPPO,13990000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,512 GB,5000 mAh,80 W
165,Nokia 3210 4G,Nokia,1590000,Unisoc T107 8 nhân,64 MB,128 MB,1450 mAh,Đang cập nhật
166,Mobell M331 4G,Mobell,550000,Unisoc T107,48 MB,128 MB,1000 mAh,2.5 W
167,Xiaomi Redmi Note 14 5G 8GB/256GB,Xiaomi,7290000,MediaTek Dimensity 7025-Ultra 5G 8 nhân,8 GB,256 GB,5110 mAh,45 W
168,Samsung Galaxy A55 5G 12GB/256GB,Samsung,9690000,Exynos 1480 8 nhân,12 GB,256 GB,5000 mAh,25 W
169,Samsung Galaxy A55 5G 8GB/256GB,Samsung,8690000,Exynos 1480 8 nhân,8 GB,256 GB,5000 mAh,25 W
170,Tecno Spark 30C 6GB/128GB,Tecno,2990000,MediaTek Helio G81 8 nhân,6 GB,128 GB,5000 mAh,18 W
171,Samsung Galaxy Z Flip6 5G 12GB/256GB,Samsung,18490000,Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4000 mAh,25 W
172,Samsung Galaxy Z Flip6 5G 12GB/512GB,Samsung,24890000,Snapdragon 8 Gen 3 for Galaxy,12 GB,512 GB,4000 mAh,25 W
173,Mobell F209,Mobell,620000,Unisoc T107,48 MB,128 MB,1500 mAh,2.5 W
174,Samsung Galaxy A16 8GB/128GB,Samsung,5390000,,8 GB,128 GB,5000 mAh,25 W
175,Samsung Galaxy A16 4GB/128GB,Samsung,4590000,,4 GB,128 GB,5000 mAh,25 W
176,Samsung Galaxy A16 8GB/256GB,Samsung,5890000,,8 GB,256 GB,5000 mAh,25 W
177,Masstel Fami 60S 4G,Masstel,700000,Unisoc T107 8 nhân,48 MB,128 MB,2300 mAh,2.5 W
178,vivo Y100 8GB/256GB,vivo,6490000,,8 GB,256 GB,5000 mAh,80 W
179,vivo Y100 8GB/128GB,vivo,6090000,,8 GB,128 GB,5000 mAh,80 W
180,vivo Y18 4GB/128GB,vivo,3790000,,4 GB,128 GB,5000 mAh,15 W
181,vivo Y100 8GB/128GB,vivo,4290000,,8 GB,128 GB,5000 mAh,15 W
182,OPPO Find N3 Flip 5G 12GB/256GB Hồng,OPPO,16490000,,12 GB,256 GB,4300 mAh,44 W
183,OPPO Reno12 F 5G 12GB/256GB,OPPO,9190000,MediaTek Dimensity 6300 5G 8 nhân,12 GB,256 GB,5000 mAh,45 W
184,OPPO Reno12 F 5G 8GB/256GB,OPPO,7490000,MediaTek Dimensity 6300 5G 8 nhân,8 GB,256 GB,5000 mAh,45 W
185,Itel it9310,Itel,560000,,16 MB,16 MB,2000 mAh,1.75 W
186,OPPO A38 6GB/128GB,OPPO,3890000,,6 GB,128 GB,5000 mAh,33 W
187,Itel it9211,Itel,430000,,,1000 mAh,1000 mAh,1.75 W
188,HONOR 200 5G 12GB/256GB,HONOR,11990000,Snapdragon 7 Gen 3 8 nhân,12 GB,256 GB,5200 mAh,100 W
189,HONOR 200 5G 12GB/512GB,HONOR,12190000,Snapdragon 7 Gen 3 8 nhân,12 GB,512 GB,5200 mAh,100 W
190,Samsung Galaxy M15 5G 4GB/128GB,Samsung,,,4 GB,128 GB,6000 mAh,25 W
191,iPhone 15 Pro 1TB,iPhone,37990000,,8 GB,1 TB,3274 mAh,20 W
192,OPPO Find N3 5G 16GB/512GB,OPPO,31990000,,16 GB,512 GB,4805 mAh,67 W
193,OPPO A58 8GB/128GB,OPPO,4790000,,8 GB,128 GB,5000 mAh,33 W
194,HONOR Magic V3 5G 12GB/512GB,HONOR,37990000,Snapdragon 8 Gen 3 8 nhân,12 GB,512 GB,5150 mAh,66 W
195,HONOR X8c 8GB/256GB,HONOR,,Snapdragon 685 8 nhân,8 GB,,5000 mAh,35 W
196,Xiaomi Redmi A5 3GB/64GB,Xiaomi,2490000,Đang cập nhật,3 GB,64 GB,Đang cập nhật,Đang cập nhật
197,Xiaomi Redmi A5 4GB/128GB,Xiaomi,2990000,Đang cập nhật,4 GB,128 MB,Đang cập nhật,Đang cập nhật
198,Samsung Galaxy S25 Edge 5G 12GB/256GB,Samsung,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật
199,Samsung Galaxy S25 Edge 5G 12GB/512GB,Samsung,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật
200,Samsung Galaxy S25 Edge 5G 12GB/512GB,Samsung,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật
201,Samsung Galaxy S25 Edge 5G 12GB/256GB,Samsung,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật
